,Unnamed: 0,lien_http,note,Nb_votes,Nb_carnets,Titre,Temps,Niveau,eco,nb_part,ingrédients
454,454,https://www.marmiton.org/recettes/recette_gingerbread-christmas-cookies-biscuits-en-pain-d-epices-de-noel_65231.aspx,4.4,67.0,6400.0,Gingerbread Christmas Cookies (biscuits en pain d'épices de Noël),25 min,très facile,Coût moyen,40.0,"['500 g de farine', '1 cuillère à café de levure', '1 cuillère à café de sel', '2 cuillères à café de gingembre en poudre', '2 cuillères à café de cannelle en poudre', '1 cuillère à café de muscade râpée', '1 cuillère à café de clou de girofle moulus', '200 g de beurre (ou margarine)', '100 g de sucre en poudre', '100 g de cassonade (sucre roux)', ""250 g de mélasse (sirop de maïs) ou miel ou sirop d'érable"", '2 oeufs battus']"
455,455,https://www.marmiton.org/recettes/recette_la-galette-des-rois-version-light_34808.aspx,1.8,6.0,385.0,La Galette des rois version light,1h30,facile,bon marché,6.0,"['150 g de farine', '200 g de fromage blanc 0% en faisselle', '1/2 sachet de levure chimique', '2 oeufs', ""100 g d'amandes en poudre"", ""2 cuillères à café d'extrait d'amande amère"", ""3 cuillères à soupe d'édulcorant liquide de cuisson"", 'Lait écrémé', '1 pâte feuilletée prête à dérouler']"
456,456,https://www.marmiton.org/recettes/recette_hoggei-pain-aux-fruits-des-noels-alsaciens_19820.aspx,4.4,26.0,2800.0,Hoggeï (pain aux fruits des Noëls alsaciens),2h15,facile,Coût moyen,8.0,"['250 g de farine', '50 g de beurre ramolli', '3 cuillères à soupe de sucre fin', '1 pincée de sel', '1 oeuf', ""1 jaune d'oeuf pour dorer"", '1/4 paquet de levure de boulanger', '400 g de fruits secs (abricots, figues, dattes, pruneaux, noix, amandes émincées, raisins secs) et deux verres de schnaps (eau de vie)', 'Sucre vanillé', 'Cannelle en poudre']"
457,457,https://www.marmiton.org/recettes/recette_galettes-de-pommes-de-terre-aux-navets_20785.aspx,3.7,14.0,2400.0,Galettes de pommes de terre aux navets,35 min,facile,Coût moyen,8.0,"['750 g de pomme de terre', '750 g de navet', '150 g de beurre', '2 oignons', '1 cuillère à soupe de persil haché', 'Muscade', 'Poivre', 'Sel']"
458,458,https://www.marmiton.org/recettes/recette_buche-de-noel-au-carambars-et-chocolat_222116.aspx,4.3,4.0,648.0,Bûche de Noël au carambars et chocolat,30 min,Niveau moyen,bon marché,6.0,"['4 oeufs', '150 g de sucre en poudre', '36 g de farine + 36 g de maïzena', '2 sachets de sucre vanillé', '1 cuillère à café de levure', 'Beurre', '15 carambars©', '20 cl de crème liquide', '200 g de chocolat noir']"
459,459,https://www.marmiton.org/recettes/recette_mi-mi-mi-crumble-mi-galette_54830.aspx,3.5,2.0,2200.0,Mi-Mi : mi crumble mi galette,1h15,Niveau moyen,bon marché,6.0,"['1 pâte feuilletée', '100 g de sucre', '2 oeufs', ""150 g de poudre d'amandes"", '75 g de beurre', '120 g de sucre', '150 g de farine', '75 g de beurre', 'Amandes entières (avec la peau) pour la décoration']"
460,460,https://www.marmiton.org/recettes/recette_galette-des-rois-aux-pommes-frangipane-noisettes_343165.aspx,4.5,2.0,363.0,"Galette des rois aux pommes ""frangipane"" noisettes",50 min,très facile,bon marché,8.0,"['1 fève', '2 pâtes feuilletées', '4 pommes', '1 sachet de sucre vanillé', '100 g de beurre mou (+ 15 g à part)', '80 g de sucre en poudre', '2 oeufs', '200 g de poudre de noisette']"
461,461,https://www.marmiton.org/recettes/recette_galettes-a-la-courgette-champignons-et-persil_228857.aspx,4.0,2.0,376.0,"Galettes à la courgette, champignons et persil",25 min,très facile,bon marché,4.0,"['650 g de courgette', '6 champignons de Paris frais', '3 oeufs', 'Persil frais', '3 cuillères à soupe de farine', 'Poivre', 'Sel', 'Huile de cuisson']"
464,464,https://www.marmiton.org/recettes/recette_galette-des-rois-franc-comtoise-des-cantoches_341920.aspx,5.0,1.0,74.0,Galette des Rois Franc-Comtoise des Cantoches,45 min,facile,bon marché,8.0,"['25 cl de lait de vache ou soja', '100 g de beurre salé ou doux', '125 g de farine de blé ou riz', '75 g de sucre', '1 sachet de sucre vanillé', '4 oeufs (3 oeufs entiers + 1 blanc et 1 jaune à dorer)', '2 cuillères à soupe de crème fraîche épaisse', ""2 cuillères à soupe d'eau de fleur d'oranger""]"
465,465,https://www.marmiton.org/recettes/recette_galette-des-rois-au-cooking-chef_383714.aspx,0.0,0.0,0.0,Galette des rois au Cooking Chef,50 min,très facile,bon marché,4.0,"['2 pâtes feuilletées', ""190 g de poudre d'amandes"", '3 oeufs', '150 g de sucre en poudre', '15 cl de lait', '75 g de beurre', '1.5 cuillère à soupe de fécule de maïs', '1/2 cuillère à café de vanille en poudre', ""1/2 cuillère à soupe de liqueur d'amande"", '1/2 cuillère à soupe de rhum (ou kirsch)', ""1 jaune d'oeuf pour dorer""]"
466,466,https://www.marmiton.org/recettes/recette_galette-speculoos-pommes_305113.aspx,0.0,0.0,141.0,Galette aux spéculoos et aux pommes,1 h,Niveau moyen,bon marché,6.0,"['175 g de spéculoos', '1 noix de beurre', '1 oeuf', '9 pommes type golden', '6 cuillères à soupe de crème fraîche entière', '2 sachets de sucre vanillé', '1 cuillère à café de sucre roux', 'Cannelle']"
467,467,https://www.marmiton.org/recettes/recette_ratatouille-d-hiver-feves-et-artichauts-a-la-menthe_66698.aspx,5.0,1.0,47.0,Ratatouille d'hiver fèves et artichauts à la menthe,1h30,facile,bon marché,6.0,"['1 kg de fève', '1 kg de petits pois frais (ou 500 g en surgelé)', '6 artichauts (blancs ou mauves)', '3 oignons', '1 échalote', '2 carottes', '1 demi de menthe', '1 demi de cerfeuil', ""6 cuillères à soupe d'huile"", 'Poivre', 'Sel']"
468,468,https://www.marmiton.org/recettes/recette_galette-des-rois-parfumee-au-kirsch_15715.aspx,3.8,6.0,344.0,Galette des rois parfumée au kirsch,2h10,facile,bon marché,8.0,"['400 g de farine', '1 pincée de sel', '2 cuillères à soupe de sucre', '250 g de beurre', ""1/4 l d'eau"", ""1 jaune d'oeuf + 1 sachet de sucre vanillé pour dorer"", '2 oeufs', '1 crème fraîche', ""1 paquet d'amandes en poudre"", '1 cuillère de kirsch', '100 g de sucre en poudre', '60 g de beurre']"
469,469,https://www.marmiton.org/recettes/recette_salade-d-hiver-sucree-salee-croquante-et-coloree_176147.aspx,0.0,0.0,34.0,Salade d'hiver sucrée-salée croquante et colorée,10 min,facile,bon marché,4.0,"['1/2 chou rouge', '1 orange ou 2 petites', '12 noix', '60 g de fromage de chèvre (la quantité dépend de la forme, une demi bûche ou un crottin par exemple)', 'Vinaigre de noix', 'Huile de noix ou autre', 'Sel', 'Poivre']"
470,470,https://www.marmiton.org/recettes/recette_galette-des-rois-fourree-pistache-griottes_55136.aspx,3.0,6.0,247.0,Galette des rois fourrée pistache-griottes,45 min,facile,Coût moyen,6.0,"['2 pâtes feuilletées pur beurre', ""75 g de poudre d'amandes"", '1 poignée de griotte surgelées (quantité selon le goût en fait)', '75 g de pistaches', ""2 oeufs + 1 jaune d'oeuf pour dorer"", '75 g de beurre mou', '1 fève']"
473,473,https://www.marmiton.org/recettes/recette_cailles-d-hiver-aux-pommes-et-epices_64538.aspx,4.7,7.0,353.0,Cailles d'hiver aux pommes et épices,1h10,très facile,bon marché,2.0,"['2 cailles', '4 pommes', '1 brique de crème fraiche allégée semi épaisse', '3 cuillères à soupe de miel', 'Cannelle en poudre', 'Anis en poudre', 'Gingembre en poudre', 'Sel / poivre', 'goutte de tabasco (selon les goûts)', 'Huile pour la sauteuse (1 ou 2 cuillères à soupe)']"
474,474,https://www.marmiton.org/recettes/recette_galette-des-rois-frangipane-et-noisettes_222565.aspx,3.7,3.0,375.0,Galette des rois (amande et noisette),50 min,facile,Coût moyen,1.0,"['2 pâtes feuilletées', '100 g de beurre', '80 g de sucre', ""120 g de poudre d'amandes"", '60 g de poudre de noisette', '1 oeuf', ""1 jaune d'oeuf"", '1 fève (2 pour le bonheur des enfants !)']"
475,475,https://www.marmiton.org/recettes/recette_buche-de-noel-au-chocolat-sans-gluten_333565.aspx,4.5,4.0,444.0,Bûche de Noël au chocolat sans gluten,25 min,facile,bon marché,8.0,"['4 oeufs entiers', '80 g de sucre roux', '60 g de fécule de pomme de terre', '200 g de chocolat noir à pâtisser', ""200 g de crème fraîche (pour les allergiques au lactose, un pot de crème d'amandes)"", ""demi d'orange"", '1 cuillère à soupe de sucre glace']"
476,476,https://www.marmiton.org/recettes/recette_galettes-de-pommes-de-terre-de-pontivy_71644.aspx,4.4,11.0,1400.0,Galettes de pommes de terre de Pontivy,1h20,facile,bon marché,8.0,"['300 g de farine de sarrasin (blé noir)', '300 g de pomme de terre à purée', 'Gros sel (une cuillère à soupe pas trop pleine)', 'Eau (20 à 30 cl)']"
